문서 번호,제목,질문,위치 고유번호,조회수,질문 날짜
478930370,질문현대고 궁금합니다!,현대고 압구정 청담 쓴 예비고 1입니당 이번에 현대고 경쟁률 낮고 추첨이라 거의 합격 확정인데 내신 난이도 궁금해요! 1) 수학이 어려운 편인지 2) 이과학생이 많은지 문과학생이 많은지 3) 특별히 어렵다는 과목이 있는지 궁금합니다! 그리고 강북 이런 지역에서 내신 딸려는 목적으로 현대고로 오는 최상위권 학생이 꽤 있다..라는 소리를 들었는데 실제로 반에 먼 지역에서 오는 학생들이 많나요? 대치 쪽 친구가 대치동 애들은 현대고 굳이 안쓴다라고 하던데 대치동애들도 많이 넘어오나요? 압구정청담동 애들 / 조금 먼 지역에 사는 애들 / 대치동 쪽 아이들 4) 이 3가지 그룹 비율이 어느정도 되나 궁금해요,120115, 50,2024.12.10
481226966,질문종로 1가 2가처럼 나뉜이유,제목 그대로 종로 1가에서 5가까지 나뉘어져있는데 이게 사거리로 나눈다고 들었는데 왜 이렇게 나누는건가요? 지도상으로 보니까 종로 1가라 해서 큰 지역을 아우르는게 아니라 그냥 지하철역쪽만 좁게 행정되어 있던데 이렇게 좁은 구역을 굳이 1부터5까지 숫자만 바꿔서 나누는 이유가 뭘까요 종로나 을지로 말고는 이렇게 n가로 나눈 구역을 못 봤는데(제가 모르는걸 수도 있지만) 헷갈리게 굳이 저 구역만 저렇게 나눈건지 이해가 안되네요 사거리 기준인건 아니까 나눈 기준말고 왜 저렇게 해놨는지에 대해 알려주시면 감사하겠습니다..!!,120137, 31,2025.02.02
481110654,질문서울 종로 놀거리,고딩여자애 둘이서 종로에서 놀려고 하는데 광화문교보 근처에서 만날거에요  이번주 토요일이라 좀 급해요 알려주시는 분들 모두 채택 해드려요 ㅠㅠ 맛집이랑 놀거리 추천해주세요!! 최대 7만원 안에서 사용하려고 하는데 돈 별로 안드는 곳 알려주심 좋을거 같아요 ㅠㅠ,120137, 85,2025.01.30
481079675,질문종묘 공민왕신당 질문,공민왕신당 안에 들어가볼수 있나요?,120137, 10,2025.01.29
480796420,질문청라 종로서적에 지박소년 하나코군 있나요??,제가 집에 17권까지 있는데 연속으로 읽고싶네요 18권부터 청라 종로서적에 있을까요??,120137, 16,2025.01.22
480670553,질문종로3가역 맛집 있나요?,인원은 8명 정도인데 모임이거든요 나이대가 30~50 인데 모임하기 좋구 맛있는 술안주 있나요?,120137, 29,2025.01.20
480631396,질문종로4가 가는방범,제가 시간날때 종로4가쪽에있는 금은방갈생각인데요 1.종로4가갈려면 지하철타고 어디서 내려서 몇번출구로나가면되는지? 2.종로4가주변에 금은방이있는지? 3.종로4가주변 금은방에서 커플링 싸게 살수있는지? (대략 20~30만원 대 가격으로 맟춰서 살생각이라서요),120137, 34,2025.01.19
480623094,질문새벽 4~7시 배달 가능한곳...,새벽 4~7시 배달 가능한곳 있나요?,120137, 28,2025.01.19
480515872,질문종로3가 포차거리,종로 3가 포차거리 지금도 운영하나요..?,120137, 60,2025.01.16
480374833,질문종로에 중학생이 즐길만한곳이 있나요?,중학생인데 종로에 즐길만한곳이 있을까요?,120137, 14,2025.01.13
480366802,질문홍대  종로 놀거리 추천,대구에서 친구가 오는데요  남자 4 여자 1 해서 총 5명이서 놀거고 홍대에 있다가 종로로 가려고 하는데 홍대에서 놀거랑 종로에서 놀만한거 추천해주세요 ! 참고로 미자입니다,120137, 209,2025.01.13
480134208,질문종로에 잇던 실크피아 한복집 어디로 갓나요?,종로에 있던 실크피아 한복집 없어졋는데 혹시 이사를 한건지 문을 닫은건지 아시는분 계시나요??,120137, 11,2025.01.08
480081239,질문2025년동대문 종합시장 광장시장 여름휴가일정,2025년동대문 종합시장 광장시장 여름휴가일정 언제쯤 알수 있을가요? 저희 직장은 종합광장 시장 휴가일정에 맞춰 쉬는거라 올해 해외여행 하고자 티켓예매 하려 합니다 일정 언제쯤 나올가요?,120137, 77,2025.01.07
479825078,질문오늘 종로 금 거리 영업하나요?,,120137, 31,2025.01.01
479701204,질문혹시 아시는분.....정확한정보가 없어서요,종로 르메이에르종로타운 상가를 매매하려고 하는데 상권 분위기는 어떤가요? 장기적.투자로 괜찮은지요?,120137, 29,2024.12.29
479633891,질문회사 근처 회식 메뉴,회사 근처에서 회식하려고 하는데 어떤 메뉴가 좋을까요?,120137, 29,2024.12.27
479383289,질문종로 광화문 출퇴근 자취방,제가 광화문에 근처에 취직을 했는데 출퇴근할 집을 알아봐야 합니다. 원룸으로 보증금 2천을 해갈건데 월세가 50대였으면 좋겠어서요ㅠㅠ 혹시 어떤 지역으로 가야할지 추천해주시겠어요...,120137, 52,2024.12.20
479250072,질문종로 맛집,이번주 토요일(21일)에 친구랑 종로 놀러가려구 하는데 맛집 추천해주세요 (양식집으로 추천 부탁드립니다),120137, 87,2024.12.17
479196691,질문종로 데이트,20대 초반 커플이구여 크리스마스때 종로 근처에서 데이트 하려 하는데 갈만한 곳 추천 해주세요 :),120137, 344,2024.12.16
478882698,질문gs25 반택,종로자이점에서 반택하나요?? 한다면 수령 어떻게 하나요? 반택은 처음이라ㅜㅜ,120137, 25,2024.12.08
478842762,질문새벽애 친구랑 갈만한곳,오랜만에 친구랑 신나게 놀고싶은데 새벽에 갈 곳 추천해주세요,120137, 44,2024.12.07
478813702,질문종로3가역 파업 1호선 시간표 알 수 있을까요? ㅠㅠ,토요일 시간표 궁금합니다,120137, 65,2024.12.07
478778788,질문서동탄행 종로 3가 정차하나요!!!?????,빨리 부탁드립니다,120137, 26,2024.12.06
478774099,질문회사 근처에서 저녁 뭐 먹을까요?,회사 근처에서 저녁 먹으려고 하는데 메뉴 추천 부탁드립니다,120137, 40,2024.12.06
478772793,질문회사 근처 저녁 메뉴 추천 좀 해주세요,회사 근처에서 저녁 먹으려고 하는데 뭘 먹으면 좋을까요,120137, 46,2024.12.06
481117173,질문중딩 가로수길 놀 곳 추천,제가 내일 친구랑 신사가로수길쪽으로 놀러가려고하는데 혹시 놀곳 추천해주실수있나요? 잠원 살구요 걸어갈만한 거리요 중딩이에요 채택해드려요,120137, 31,2025.01.30
480807910,질문인사동 똥빵,인사동에 있는 똥빵 아직도 파나요??,120137, 61,2025.01.23
480729315,질문책방 이름 위치 찾아주세요ㅠ,어렸을때 꽤 자주? 가던 곳인데 지역은 기억이 안나고 막 벽에 낙서? 그림? 되어있는 길(그 길도 이름 있던거 같아요) 쭉 따라가다 보면 무슨 책방?이 나오는데 어딘가요ㅠㅠㅡ 책방 이름은 ○○이네 였던것 같아요 서울 사니까 아마 서울이거나 멀지 않은곳에 있을것 같아요 제발 알려주세용ㅠㅠ,120137, 27,2025.01.22
480460962,질문꿈 해몽 부탁드립니다,인사만 하는 사이인데 갑작이 꿈에서 결혼하게됬는데 이게 무슨 꿈인가요..?,120137, 24,2025.01.15
480341571,질문무대인사 자리,롯시 영등포 3관 d열 중앙이랑 용산 8관 b열 극싸 중에 어디 가는 게 좋을까요??ㅠ,120137, 29,2025.01.13
479999741,질문대중교통문의,수원에서 인사동 가려면 전철 대중교통 이용하려는데 좀알려주실분 계실까요,120137, 24,2025.01.05
479902142,질문갓난아기가 손흔들며 인사하는 꿈 해몽부탁드려요,회사에 처음보는 여자손님이 와서 현관문을 열었습니다. 문을 여니 열기전엔 시야에 보이지않던 갓난아기가 초록색 유모차에 앉아 손흔들며 인사해주었습니다. 해몽 알 수 있을까요 ?,120137, 34,2025.01.03
481329827,질문아이브 명동,아이브 위드뮤 명동에서도 하나요? 지금 왔는데 안 하는것 같아요 ㅠ,120138, 26,2025.02.04
481236962,질문명동 홍대 위드뮤,위드뮤에 제베원 응원봉 파나요? 가격은 얼마인가요?,120138, 14,2025.02.02
480865041,질문명동 닭한마리 본점이 맛있나요 시조점이 맛있나요,,120138, 20,2025.01.24
480849159,질문혼자 명동 가기,20살 남자인데 혼자 명동 가려고 하는데 할 만한 거 추천 좀 해주세용,120138, 47,2025.01.23
480501682,질문명동 위드뮤 에스파 응원봉!! *진짜제발..급해요 ㅠ*,이 질문들 다 답변해주세용 ㅜㅜ 진짜진짜 급합니다.. 1.명동 위드뮤에 에스파 응원봉 파나요? 2.판다면 얼마인가요? 3.포카도 같이 들어있나요? 진짜 제발제발제발 ㅠㅠㅠ,120138, 26,2025.01.16
480171081,질문남산돈까스101번지,명동역에서 몇번 출구로 나가면 되나요.......,120138, 52,2025.01.09
480163075,질문피부시술후 화상,써마지 시술후 이마부위와 눈가 턱쪽에 물집이 잡혀 화상을 입었습니다 집에 바를만한 연고가 없어서 독일 세라일론 클레식 수딩밤 초록색 파스냄새 나는 재생연고를 바르고 연고로된 듀오덤을 얇게 펴바른후 붙이는 듀오덤을 잘라 붙혀놨었는데 차도가 없어서 오늘 재생크림 약국에서 에스로반을 사서 화상부위에 여러차래 도포하고 비판텐으로 보호도 해놓고 그러다 취침 시간에 에스로반이랑 세라일론클레식 수딩밤이랑 흉터겔 연고듀오덤 도포후 붙이는듀오덤 잘라서 붙혀놨는데..그냥 에스로반만 바르고 통기를 시켜주는게낫나요?듀오덤을 화상부위에 붙이면 안된다 된다 댓글들이 다들 틀려서...붙혀놓는게 좀더빠른 효과를 본다면 붙혀놓고 통기시키며 연고만 바르는겟낫다면 연고만 바르려구요..정답좀 가르쳐주세요..,120138, 81,2025.01.09
479888439,질문예비중 (초등) 명동 쪽 서울 여행 코스 짜주세요,이번에 막 졸업한 예비중 4명이구요  대표로 제가 씁니다 . 최대한 명동 위주로 짜주세요 ! 버스를 타서 명동성당 쪽에서 위드뮤를 먼저 방문 할 것 이고  그 주변 둘러 볼건데요  그 다음을 어떻게 해야 할지 모르겠어요 ㅜㅜ 서울을 잘 몰라서 ㅜ 그 2개로 나뉘어져 있던데 ( 한강 기준 ) 명동 쪽이면 좋겠어요 완전 세부하게 코스 짜주시면 감사하겠습니다 부적절한 요소나 성인들만 갈 수 있는 곳 이런거 내시면 신고해요 초등학생 한테 적합한 곳 위주로 부탁드립니다. 자세하고 초딩 입맛에 맞게 짜주시면 내공 드려요 >< ,120138, 128,2025.01.02
479778151,질문1월 1일에 명동,명동에 사람 많나요?,120138, 41,2024.12.31
479705003,질문명동다이소 어떻게 가죠?,제 거주지는 평택이에요..명동다이소를 가고싶은데 버스로 갈거라서무슨버스를 타야할지..고민입니다 최대한 괜찮은 버스시간표 짜주실분 구합니다! 채택은 당연 해드려요~~ 청북쪽에사는데 바스시간표 짜주세요!,120138, 85,2024.12.29
479573034,질문이 명동 옷가게 어딘가요?,런닝맨 729화에 나온 옷가게인데 옷가게 이름이 뭔가요,120138, 30,2024.12.25
479554417,질문크리스마스 명동입구 버스,명동입구 광역버스 정류장에서 버스를 갈아타야하는데 저녁 9시 정도에 버스를 못 탈 정도로 사람이 많을까요..? 명동을 안가봐서 걱정되네요 ㅠㅠ,120138, 29,2024.12.25
479549253,질문명동 한 평 땅값,서울 명동의 땅값이 우리나라에서 최고라는데요. 그러면 명동 한 평 땅값은 얼마인가요?,120138, 53,2024.12.25
479533805,질문크리스마스 명동 데이트,제가 21살인데 인생 처음으로 썸녀랑 크리스마스에 같이노는데 썸녀가 명동 가고싶다해서 명동가는데 갈만한데를 찾아본데가 명동 성당이랑 명동 신세계아님 롯데백화점이랑 이탈리안 에스프레소바 이런거 생각을 했는데 뭘해야될지 모르겠어요 뭔가 좀 센스있는 모습 보여주고싶은데ㅜㅜ 그래서 질문드립니다 1. 저기말고 다른데 추천좀 해주실수있나요..? 2. 추천해주시는 김에 순서도 좀 알려주시면 감사할거같습니다ㅜㅜ 3. 명동성당은 가보고싶은데 저녁에 가는게 더 이쁘겠죠…?,120138, 312,2024.12.24
479533563,질문명동야시장,지금하고잇나요??? 궁금해요 급!!! 그리고 몇시까지인가요???,120138, 100,2024.12.24
479454019,질문신세계 명동 본점,명동 데이트 가는길에 백화점 전광판 보러 가려고하는데 크리스마스 전광판 나오는 시간이 따로 있을까요? 광고도 나온다고 하는데 계속 크리스마스 화면은 아니죠?,120138, 178,2024.12.22
479425926,질문명동 놀거리 추천,크리스마스에 명동 가려고 하는데 놀거리 추천좀해주세요 세세하게 부탁드려요 분위기 좋은 맛집이랑 놀거리(공방만들기이색 만화카페(이름)안마카페(이름까지))야경분위기좋은 카페 등 활동적이게 놀만한곳이나 심심하지않은 데이트코스 추천 부탁드려요 ㅠㅠ 내공 많이요!!,120138, 521,2024.12.22
479425308,질문이중에 명동 라인스퀘어랑 젤 가까운곳이 어딘가요,뚜벅이가 대중교통을 타고 가거나 걸어갈 수 있다는 한에서요!,120138, 35,2024.12.22
479418054,질문명동 위드뮤,명동에 있는 위드뮤에 있는 스키즈 럭드 기간 언제까지인가요?,120138, 16,2024.12.21
479379395,질문명동역 주변pc방있나요?,가까운곳 아무데나 찾아주세요 ㅠㅠ,120138, 36,2024.12.20
479341599,질문크리스마스 명동,크리스마스에 만나기로함 썸녀가 있는데 명동에서 뭐 할지 추천좀요,120138," 2,049",2024.12.19
479176827,질문중딩 명동/동대문 맛집 추천,중딩 4명이서 명동/동대문 쪽으로 놀러가는데 맛있는데 있나요? 가격 최대한 1인당 2~3만원대로 양식이나 무한리필로 즐길수 있는 곳으로 부탁 드려요 쓸데없는 이상한곳 말고 제대로 된곳으로 부탁드립니다,120138, 39,2024.12.17
479232322,질문명동교자(가격),칼국수 한 그릇에 11000 원인데요...... 가격이 비싼 편인가요.....,120138, 32,2024.12.17
479223820,질문명동 CGV 근처 사진관,진짜 기사님이 찍어주시는 사진관 같은거 말고 모노맨션 포토그레이 비비드 뮤지엄 같은 사진관 어디있나요? 걸어서 15분거리 내에 있는 곳 알려주세요 근처에 카페가 많다면 좋겠어요..,120138, 49,2024.12.17
479221001,질문명동스퀘어 근처,명동스퀘어 근처에 길거리 음식 많나요??,120138, 37,2024.12.17
479176342,질문중딩 명동/동대문 맛집 추천,중딩 4명이서 명동/동대문 쪽으로 놀러가는데 맛있는데 있나요? 가격 최대한 1인당 2~3만원대로 양식이나 무한리필로 즐길수 있는 곳으로 부탁 드려요,120138, 85,2024.12.16
479020158,질문중학생 명동 놀거리,중2 2명이서 명동 갈 예정인데 뮤지엄박물관 이런데 말고 좀 재밌게 놀만한데 없을까요?,120138, 20,2024.12.12
479011323,질문엄마랑 명동에서 놀 거리,안녕하세요! 저는 19살 지방 학생인데 엄마랑 일요일에 명동에서 놀기로 했어요 가볼 만한 곳이 있을까요? 팝업 스토어도 있으면 알려주새요,120138, 81,2024.12.11
479008503,질문명동놀거리,명동에 미성년자가 놀만한거 추천 해주세요 저렴한걸롷,120138, 397,2024.12.11
478802441,질문행담도 휴게소,행담도 휴게소 좋아요? 놀러갈때가 마땅치 않은데 행담도 휴게소로 놀러갈만해요?,120138, 31,2024.12.06
481334419,질문교보문고 강남점에서 책 볼수있나요?...,교보문고 강남점에서 책 볼수있나요? 앉아서 또는 한 3시간 이상 길게 있을 예정인데 가능하나요?,120115, 16,2025.02.04
481301796,질문강남 성모병원 편의점이나 편의시설,스탠드 조명이나 공부용 스탠드 조명 파는 곳 있을까요? 보호자로 입원했는데 컴컴해서 필요할 듯해요 ㅠ,120115, 23,2025.02.04
481290643,질문강남 24시 찜질방에서 청소년 한명 자는거 되나요?,청소년 혼자서 찜질방에서 하루 잘건데 가능할까요?? 그리고 사람많은데 있을까요?? 사람 많이 없으면 잘 때 좀 무서울 것 같애서..,120115, 16,2025.02.03
481259984,질문상수역(홍대) 웃사브 없어졌나요?,상수역(홍대) 웃사브 없어졌나요? 내일 가려고 하는데 전화 연결이 안되서 그러는데 인도식당 웃사브 아직 하는지? 없어졌는지 궁금합니다.,120115, 10,2025.02.02
481152063,질문아니 강남 주택청약은 못넣나요??,아래 사진 내용보면 최근 최소점수랑 제 점수 29점이랑 너무 차이나네요.. 어차피 뺑뺑이 아니었나요?? 주택청약 꿈을꾸며 매달 저축중이었는데 현금 5억을 어케 모았는데 하... 전 점수상 안되는건가요 평생 서민으로 살라는걸까요,120115, 28,2025.02.02
481223413,질문강남 은마아파트 진선여중대명중,이번에 은마아파트로 이사가는데 가면 진선여즁이나 대명중울 배정받을거같은데 궁금한게 많아서 써봐요..! 1.11년생으로 이제 2학년인데 노는 애들 많나요? 2.조용한 성격이라서 친구를 못사귈까 걱정인데 괜찮을까요?,120115, 20,2025.02.02
481217867,질문강남8학군 내에서는 전학이 특별한 사유 없이불가능한가요,집이 도곡쪽인데... 8km나 떨어져 있는 일원동 중산에 배정되서... 전학을 간다면 서초구 쪽으로 갈 수 있나요?,120115, 22,2025.02.01
481215151,질문투앤티 크림...,투앤티 크림 피부과에서 처방받지 않아도 약국에서 구매할 수 있나요??,120115, 14,2025.02.01
481214800,질문익산역에서 대천역 4분차이,익산역 도착시간이 0942고 익산에서 대천역 출발이 0944인데 환승 가능할까요? 토요일입니다.,120115, 12,2025.02.01
481214521,질문프로좀에이 크림...,프로좀에이 크림 약국에서 구매할 수 있죠??,120115, 20,2025.02.01
481210538,질문평택 청담고등학교 질문,평택 청담고등학교에는 밴드부가 있나요?,120115, 11,2025.02.01
481197919,질문사카이역에서 유니버셜 스튜디오를 가고 싶어요!!,사카이역에서 유니버셜 스튜디오를 가고 싶어요. 어떻게 가는 방법이 가장 빠른 방법일까요? ?,120115, 14,2025.02.01
481191919,질문홍대 번호..,여자분들 얼굴이 예쁘장하면 홍대나 강남 가면 보통 남자들이 번호 많이 물어봐요??,120115, 21,2025.02.01
481180175,질문수서역안이나 수서역 근처 맛집이 있을까요??,친구랑 같이 뮤지컬을 보러가는데 시간이 조금 빠듯해서요ㅠ 수서역 안에 있는 식당이나 버스로 10~20분 걸리는 맛집좀 추천해주시면 감사합겟습미당!!,120115, 53,2025.02.01
481177229,질문집 짓는데 얼마들까요?,강남에 땅사고 3층짜리 주택도 짓고 인테리어도 하면 몇억 정도 나올까요?,120115, 25,2025.02.01
481176057,질문센트럴 시티 강남 바 술집 추천해주세요!!,제목그대로입니당,120115, 16,2025.02.01
481155017,질문서울 강남 홍대 가볼만한곳,20살 여자 둘이서 대학가기전 다음주에 서울 놀러가려고하는데 가볼만한곳 추천좀 해주세요ㅜ 당일치기로 가요!,120115, 70,2025.01.31
481141469,질문강남구 개포동일원동 아파트 저렴한 월세 있나요?,개포동쪽으로 주거를 옮기려고하는 직장여성입니다.요즘 빌라는 안전이나 사기로 아한 부담이 많은데요. 혹시 추천할만한 곳 있을가요?,120115, 24,2025.01.31
481132295,질문강남 피부과 치료,논현이나 반포쪽에 에스테틱하는 피부과 말고 진짜 피부 질환 치료해주는 병원 추천 좀 부탁드려요,120115, 29,2025.01.31
481128789,질문학생인데 강남역 주변 맛집 알려주세료,4명에서 먹을거에여,120115, 34,2025.01.31
481120991,질문부동산 질문요.,삼성동 일대 영동대로가 개발되면 역삼역 주변 역삼동 성당 주변 집값은 어떻게 되나요 ?,120115, 24,2025.01.30
481112718,질문압구정 놀거리 추천,남자 3 여자 2 이제 중 3올라가는데 일요일에 2/2 에 가기로했어요 애들이 계획 안짜고 그냥 가서 놀자는데 좀 불난해서 저라도 뭐 찾아놓으려구요ㅜㅜ 일산 고양시에서 출발하고 중3 학생들이 놀만란곳 추천해주세요ㅜㅜ많이 부탁드려요!! 다 옷보는것도 좋아하고 전시회 이런대도 좋아하는데 학생들이라 가격이 비싸지 않았으면 좋겠어요!!,120115, 28,2025.01.30
481031713,질문청담동 레벨 테스트,안녕하세요 제가 가려고 하는 샵이 있는데 그게 청담동에 위치하는 샵입니다 알아보니까 6단계의 테스트가 있다고 했어요 근데 3단계부터는 6개월에 한번씩 시험을 보며 직급이 올라간데요 말씀하신 한분은 다닌지 1년 조금 넘었는데 3단계라고 하셨어요 그러면 총 4년5년인데 궁금한거는 경력이 있고 실력이 있으면 아무리 청담이여도 바로바로 올라갈 수 있나요? 아니면 청담하면 무조건 6년 넘게 걸린다고 하는데ㅠ 개인적이 상황이 있어 시간적인게 중요해서 여쭈어봅니다ㅠ,120115, 26,2025.01.30
481102320,질문꿈 해몽 부탁드립니다,자꾸 저번부터 친구들과 사우나에 가는 꿈을 꾸는데 해몽해주실 수 있으실까요? 어떤 의미가 있나요?,120115, 24,2025.01.30
481096461,질문8호선 위례역 주변 프리미엄 원룸텔 문의합니다.,8호선 위례역 근처에 취업을 했습니다. 주변에 프리미엄 원룸텔 알아보고 있는데 무슨동에 얻어야 할지 고민입니다. 찾고 있는 원룸텔 월세는 50~70사이 여성 전용이면 더 좋을거 같습니다.,120115, 27,2025.01.30
481093949,질문분위기 있는 술집 추천?,연인과 분위기 있는 술집 어디 있을까요?,120115, 19,2025.01.30
481083683,질문남녀혼숙 가능한 템플스테이 추천 부탁드립니다.,남녀혼숙 가능한 템플스테이 추천 부탁 드립니다. 경기도 충청도 전라도쪽 가능합니다 감사합니다,120115, 11,2025.01.29
481082262,질문양천구 목동 강남구 개포동 학구열,목동이랑 개포동 학구열 비교하면 확실히 목동이 더 높긴 하죠? 목동에 있는 중학교랑 개포동에 있는 중학교 중에 시험도 목동이 훨씬 어렵나요?,120115, 47,2025.01.29
481078074,질문병동 1인실   가격      삼성   분당서울대,﻿ 서울 삼성병원(수서쪽) 1인실 얼마나 할까요? 분당서울대병원(분당구미동) 1인실 도 혹시 알려주시면 감사요 ﻿,120115, 21,2025.01.29
480971401,질문서초 강남 점 빼는 비용,점 잡티 제거를 위해서 병원을 가려고 합니다. 정보 찾기가 어려워서 질문 남겨봐요. 30대 남성이고 잡티가 아주 많은 편은 아니에요. 1. 강남/서초 쪽에 괜찮은 병원이 있다면 추천받고 싶어요. 2. 어느 정도의 가격이 적당한지 궁금합니다. 3. 시술 종류가 여러개라면 어떤 것들이 있는지도 궁금해요,120115, 22,2025.01.28
481019601,질문피부 어때요??,제 피부 어때용?? 좋은편인가요..?,120115, 28,2025.01.28
480990421,질문대치동 가면,혹시 대학 재수 하는 애들 많나요?,120115, 31,2025.01.27
480981854,질문예쁜외모..,막 연예인급은 아니여도 적당히 예쁘고 날씬하면 인생 살기 편한가요..? 제가 그래도 어디가면 항상 예쁘다는 소리 들어서..ㅎ,120115, 26,2025.01.27
480980069,질문강남 홍대..,20대여자분들 강남이나 홍대 돌아다니면 보통 번호 많이 따이시나요..? 외모는 괜찮다는 가정하에 남자들이 여자외모가 평균이상이면 번호 많이 따요??,120115, 44,2025.01.27
480979411,질문서울 강남 쪽에서 가볼만한 곳 뭐 있나요  압구정에서,서울 강남 쪽에서 가볼만한 곳 뭐 있나요 압구정에서 밥 먹고 근처 쇼핑 좀 하고 그 후에 강남 다른 곳 가려는데 추천해주세요 ~~ 박물관이나 근사한 쇼핑몰이나 재밌는 놀거리나 현지인의 찐맛집 추천해주세요,120115, 30,2025.01.27
480979396,질문서울 강남 쪽에서 가볼만한 곳 뭐 있나요,서울 강남 쪽에서 가볼만한 곳 뭐 있나요 압구정에서 밥 먹고 근처 쇼핑 좀 하고 그 후에 강남 다른 곳 가려는데 추천해주세요 ~~ 박물관이나 근사한 쇼핑몰이나 재밌는 놀거리나 현지인의 찐맛집 추천해주세요,120115, 37,2025.01.27
480795871,질문롯데 타워가 겁나게 크고 높던데어디까지 보이는건가요?,,120115, 26,2025.01.26
480966055,질문설연휴 역삼 푸른솔도서관 무인반납기는 이용가능한가요??,책반납기일내 갈 수 있는 날이 연휴때라서 질문드립니다ㅠ,120115, 15,2025.01.26
480958129,질문신논현역 논현초등학교 주변에 철봉 있는곳 아시는분있나요,헬스장이 닫아서 운동하려구요 ㅜㅜ,120115, 19,2025.01.26
480954072,질문강남에서 놀 수 있는곳,강남에서 중등 학생들 13명이서 재밌게 놀수 있는 곳을 좀 알려주세요....ㅠㅜ,120115, 46,2025.01.26
480951177,질문대치동 근처에 맛집 있나요,대치역 도곡역 한티역 매봉역 근처에 맛집 추천해주세요 두끼는 너무 많이 가서 약간 지겨운데 친구랑 가기 좋은 맛집 있을까요?,120115, 45,2025.01.26
