,문서 번호,질문 ID,질문,답변 날짜
44,476188037,4761880375,천안신부동에서 역삼동탑차 10만원 입니다,2024.10.04.
45,476025337,4760253371,"여유있게 가려면 전철빨리가려면 버스지하철 2시간4분소요 3200원경춘선 전철은 1시간 3 ~ 4번 다님 시간표 확인https://map.naver.com/p/subway/1000/entry/1830?c=9.00,0,0,0,dh네이버 지도공간을 검색합니다. 생활을 연결합니다. 장소, 버스, 지하철, 도로 등 모든 공간의 정보를 하나의 검색으로 연결한 새로운 지도를 만나보세요.map.naver.com춘천터미널에서 잠실행 시외버스 이용 하루12회 운행 7700원 1시간 10분소요잠실역에서 2호선 선릉역 하차 7분소요 1400원시간표http://24four7.com/%EC%B6%98%EC%B2%9C-%EC%9E%A0%EC%8B%A4-%EB%B2%84%EC%8A%A4/?p=703춘천 잠실 버스(feat. 버스시간, 요금표 등) | 픽도와드림춘천 잠실 버스 요금, 시간표 등에 대해서 궁금하세요? 초간단하게 정리하였습니다. 춘천, 잠실, 잠실, 춘천 버스시간표, 요금 등에 대해서 궁금하셨던 분들에게 많은 도움이 될 것입니하. 어디서 탑승하는지 확인가능합니다. ^^24four7.com",2024.09.30.
46,476683768,4766837681,"역삼역은 단순한 교통의 요지가 아니라, 비즈니스, 문화, 쇼핑 등 다양한 기능이 집중된 복합 공간입니다.",2024.10.17.
47,476683768,4766837682,역삼역은 강남 테헤란로의 중심지라고 생각합니다.회사들도 많이 밀집되어있고 고층빌딩 숲으로 형성된 지역이라고 생각합니다,2024.10.17.
48,476683768,4766837683,역삼역은 언덕으로 바로역 강남역과 구분됨직장인 상권으로 점심때 상당히 분주하고주말이 되면 상당히 썰렁해지는 역,2024.10.17.
49,476683768,4766837684,역삼역은 고지대에 있는 역.저지대에 있는 강남역과 반대되는 역입니다GS타워 등 회사들이 밀집되어 있으며고층빌딩 숲으로 형성되어 있습니다,2024.10.17.
50,476654087,4766540871,"월10:00~21:00, 휴게시간 14:00~15:00화10:00~21:00, 휴게시간 14:00~15:00수10:00~21:00, 휴게시간 14:00~15:00목10:00~21:00, 휴게시간 14:00~15:00금10:00~21:00, 휴게시간 14:00~15:00토10:00~15:00일정보없음",2024.10.15.
51,476609135,4766091351,네 오래된 건물은 더러 아직 남아 있습니다..그 동네뿐만 아니라 어디든그래요,2024.10.14.
52,476207012,4762070121,서울역에서 나오시면 버스정거장이 많아요. 거기서 지하철 2호선강남역 가는 402번버스타서 지하철 2호선강남역 에서 내리시면 됩니다! 버스노선표에 방향표가 있어서 화살표 방향에서 지하철 2호선강남역 가는 방향으로 402번 타시면 돼요!,2024.10.08.
53,476207012,4762070122,"서울역에서 4호선 오이도행을 타고 동작역하차동작역에서 9호선 중앙보훈병원행을 타고 신논현역하차서울역에서 1호선 인천,천안,병점,구로,신창,서동탄행을 타고 노량진역하차노량진역에서 9호선 중앙보훈병원행을 타고 신논현역하차약 31~40분 소요됨",2024.10.08.
54,476207012,4762070123,서울역 1호선 노량진역 하차 9호선은 급행 일반 2가지가 번갈아 가면서 옴급행 탑승 신논현역 하차7번출구 바로앞,2024.10.08.
55,476188037,4761880371,안녕하세요 ~~!탑차  11만원입니다 (한국로지스) 전국연합 { 주)틈새 }(운송면허 주선면허 이사면허 포장이사보험 완비)프로필 클릭~ 문자 & 톡으로 가격 문의 편하게 상담가능합니다언제든지 연락주시면~ 최선을 다해서 도움드리겠습니다고맙습니다,2024.10.04.
56,476188037,4761880372,1톤탑차용달 단순용달화물운송기본15만원 입니다.ㅡㅡㅡㅡ언제든지 문의주십시요 ❤️,2024.10.04.
57,476188037,4761880373,"안녕하세요!저녁시간 단순운송 11만원입니다.""연락주시면 최선을 다하겠습니다!""",2024.10.04.
58,476188037,4761880374,1톤 탑차25만원입니다,2024.10.04.
59,476188037,4761880375,천안신부동에서 역삼동탑차 10만원 입니다,2024.10.04.
60,476025337,4760253371,"여유있게 가려면 전철빨리가려면 버스지하철 2시간4분소요 3200원경춘선 전철은 1시간 3 ~ 4번 다님 시간표 확인https://map.naver.com/p/subway/1000/entry/1830?c=9.00,0,0,0,dh네이버 지도공간을 검색합니다. 생활을 연결합니다. 장소, 버스, 지하철, 도로 등 모든 공간의 정보를 하나의 검색으로 연결한 새로운 지도를 만나보세요.map.naver.com춘천터미널에서 잠실행 시외버스 이용 하루12회 운행 7700원 1시간 10분소요잠실역에서 2호선 선릉역 하차 7분소요 1400원시간표http://24four7.com/%EC%B6%98%EC%B2%9C-%EC%9E%A0%EC%8B%A4-%EB%B2%84%EC%8A%A4/?p=703춘천 잠실 버스(feat. 버스시간, 요금표 등) | 픽도와드림춘천 잠실 버스 요금, 시간표 등에 대해서 궁금하세요? 초간단하게 정리하였습니다. 춘천, 잠실, 잠실, 춘천 버스시간표, 요금 등에 대해서 궁금하셨던 분들에게 많은 도움이 될 것입니하. 어디서 탑승하는지 확인가능합니다. ^^24four7.com",2024.09.30.
61,476683768,4766837681,"역삼역은 단순한 교통의 요지가 아니라, 비즈니스, 문화, 쇼핑 등 다양한 기능이 집중된 복합 공간입니다.",2024.10.17.
62,476683768,4766837682,역삼역은 강남 테헤란로의 중심지라고 생각합니다.회사들도 많이 밀집되어있고 고층빌딩 숲으로 형성된 지역이라고 생각합니다,2024.10.17.
63,476683768,4766837683,역삼역은 언덕으로 바로역 강남역과 구분됨직장인 상권으로 점심때 상당히 분주하고주말이 되면 상당히 썰렁해지는 역,2024.10.17.
64,476683768,4766837684,역삼역은 고지대에 있는 역.저지대에 있는 강남역과 반대되는 역입니다GS타워 등 회사들이 밀집되어 있으며고층빌딩 숲으로 형성되어 있습니다,2024.10.17.
65,476654087,4766540871,"월10:00~21:00, 휴게시간 14:00~15:00화10:00~21:00, 휴게시간 14:00~15:00수10:00~21:00, 휴게시간 14:00~15:00목10:00~21:00, 휴게시간 14:00~15:00금10:00~21:00, 휴게시간 14:00~15:00토10:00~15:00일정보없음",2024.10.15.
66,476609135,4766091351,네 오래된 건물은 더러 아직 남아 있습니다..그 동네뿐만 아니라 어디든그래요,2024.10.14.
67,476207012,4762070121,서울역에서 나오시면 버스정거장이 많아요. 거기서 지하철 2호선강남역 가는 402번버스타서 지하철 2호선강남역 에서 내리시면 됩니다! 버스노선표에 방향표가 있어서 화살표 방향에서 지하철 2호선강남역 가는 방향으로 402번 타시면 돼요!,2024.10.08.
68,476207012,4762070122,"서울역에서 4호선 오이도행을 타고 동작역하차동작역에서 9호선 중앙보훈병원행을 타고 신논현역하차서울역에서 1호선 인천,천안,병점,구로,신창,서동탄행을 타고 노량진역하차노량진역에서 9호선 중앙보훈병원행을 타고 신논현역하차약 31~40분 소요됨",2024.10.08.
69,476207012,4762070123,서울역 1호선 노량진역 하차 9호선은 급행 일반 2가지가 번갈아 가면서 옴급행 탑승 신논현역 하차7번출구 바로앞,2024.10.08.
70,476188037,4761880371,안녕하세요 ~~!탑차  11만원입니다 (한국로지스) 전국연합 { 주)틈새 }(운송면허 주선면허 이사면허 포장이사보험 완비)프로필 클릭~ 문자 & 톡으로 가격 문의 편하게 상담가능합니다언제든지 연락주시면~ 최선을 다해서 도움드리겠습니다고맙습니다,2024.10.04.
71,476188037,4761880372,1톤탑차용달 단순용달화물운송기본15만원 입니다.ㅡㅡㅡㅡ언제든지 문의주십시요 ❤️,2024.10.04.
72,476188037,4761880373,"안녕하세요!저녁시간 단순운송 11만원입니다.""연락주시면 최선을 다하겠습니다!""",2024.10.04.
73,476188037,4761880374,1톤 탑차25만원입니다,2024.10.04.
74,476188037,4761880375,천안신부동에서 역삼동탑차 10만원 입니다,2024.10.04.
75,476025337,4760253371,"여유있게 가려면 전철빨리가려면 버스지하철 2시간4분소요 3200원경춘선 전철은 1시간 3 ~ 4번 다님 시간표 확인https://map.naver.com/p/subway/1000/entry/1830?c=9.00,0,0,0,dh네이버 지도공간을 검색합니다. 생활을 연결합니다. 장소, 버스, 지하철, 도로 등 모든 공간의 정보를 하나의 검색으로 연결한 새로운 지도를 만나보세요.map.naver.com춘천터미널에서 잠실행 시외버스 이용 하루12회 운행 7700원 1시간 10분소요잠실역에서 2호선 선릉역 하차 7분소요 1400원시간표http://24four7.com/%EC%B6%98%EC%B2%9C-%EC%9E%A0%EC%8B%A4-%EB%B2%84%EC%8A%A4/?p=703춘천 잠실 버스(feat. 버스시간, 요금표 등) | 픽도와드림춘천 잠실 버스 요금, 시간표 등에 대해서 궁금하세요? 초간단하게 정리하였습니다. 춘천, 잠실, 잠실, 춘천 버스시간표, 요금 등에 대해서 궁금하셨던 분들에게 많은 도움이 될 것입니하. 어디서 탑승하는지 확인가능합니다. ^^24four7.com",2024.09.30.
76,476683768,4766837681,"역삼역은 단순한 교통의 요지가 아니라, 비즈니스, 문화, 쇼핑 등 다양한 기능이 집중된 복합 공간입니다.",2024.10.17.
77,476683768,4766837682,역삼역은 강남 테헤란로의 중심지라고 생각합니다.회사들도 많이 밀집되어있고 고층빌딩 숲으로 형성된 지역이라고 생각합니다,2024.10.17.
78,476683768,4766837683,역삼역은 언덕으로 바로역 강남역과 구분됨직장인 상권으로 점심때 상당히 분주하고주말이 되면 상당히 썰렁해지는 역,2024.10.17.
79,476683768,4766837684,역삼역은 고지대에 있는 역.저지대에 있는 강남역과 반대되는 역입니다GS타워 등 회사들이 밀집되어 있으며고층빌딩 숲으로 형성되어 있습니다,2024.10.17.
80,476654087,4766540871,"월10:00~21:00, 휴게시간 14:00~15:00화10:00~21:00, 휴게시간 14:00~15:00수10:00~21:00, 휴게시간 14:00~15:00목10:00~21:00, 휴게시간 14:00~15:00금10:00~21:00, 휴게시간 14:00~15:00토10:00~15:00일정보없음",2024.10.15.
81,476609135,4766091351,네 오래된 건물은 더러 아직 남아 있습니다..그 동네뿐만 아니라 어디든그래요,2024.10.14.
82,476207012,4762070121,서울역에서 나오시면 버스정거장이 많아요. 거기서 지하철 2호선강남역 가는 402번버스타서 지하철 2호선강남역 에서 내리시면 됩니다! 버스노선표에 방향표가 있어서 화살표 방향에서 지하철 2호선강남역 가는 방향으로 402번 타시면 돼요!,2024.10.08.
83,476207012,4762070122,"서울역에서 4호선 오이도행을 타고 동작역하차동작역에서 9호선 중앙보훈병원행을 타고 신논현역하차서울역에서 1호선 인천,천안,병점,구로,신창,서동탄행을 타고 노량진역하차노량진역에서 9호선 중앙보훈병원행을 타고 신논현역하차약 31~40분 소요됨",2024.10.08.
84,476207012,4762070123,서울역 1호선 노량진역 하차 9호선은 급행 일반 2가지가 번갈아 가면서 옴급행 탑승 신논현역 하차7번출구 바로앞,2024.10.08.
85,476188037,4761880371,안녕하세요 ~~!탑차  11만원입니다 (한국로지스) 전국연합 { 주)틈새 }(운송면허 주선면허 이사면허 포장이사보험 완비)프로필 클릭~ 문자 & 톡으로 가격 문의 편하게 상담가능합니다언제든지 연락주시면~ 최선을 다해서 도움드리겠습니다고맙습니다,2024.10.04.
86,476188037,4761880372,1톤탑차용달 단순용달화물운송기본15만원 입니다.ㅡㅡㅡㅡ언제든지 문의주십시요 ❤️,2024.10.04.
87,476188037,4761880373,"안녕하세요!저녁시간 단순운송 11만원입니다.""연락주시면 최선을 다하겠습니다!""",2024.10.04.
88,476188037,4761880374,1톤 탑차25만원입니다,2024.10.04.
89,476188037,4761880375,천안신부동에서 역삼동탑차 10만원 입니다,2024.10.04.
90,476025337,4760253371,"여유있게 가려면 전철빨리가려면 버스지하철 2시간4분소요 3200원경춘선 전철은 1시간 3 ~ 4번 다님 시간표 확인https://map.naver.com/p/subway/1000/entry/1830?c=9.00,0,0,0,dh네이버 지도공간을 검색합니다. 생활을 연결합니다. 장소, 버스, 지하철, 도로 등 모든 공간의 정보를 하나의 검색으로 연결한 새로운 지도를 만나보세요.map.naver.com춘천터미널에서 잠실행 시외버스 이용 하루12회 운행 7700원 1시간 10분소요잠실역에서 2호선 선릉역 하차 7분소요 1400원시간표http://24four7.com/%EC%B6%98%EC%B2%9C-%EC%9E%A0%EC%8B%A4-%EB%B2%84%EC%8A%A4/?p=703춘천 잠실 버스(feat. 버스시간, 요금표 등) | 픽도와드림춘천 잠실 버스 요금, 시간표 등에 대해서 궁금하세요? 초간단하게 정리하였습니다. 춘천, 잠실, 잠실, 춘천 버스시간표, 요금 등에 대해서 궁금하셨던 분들에게 많은 도움이 될 것입니하. 어디서 탑승하는지 확인가능합니다. ^^24four7.com",2024.09.30.
91,476683768,4766837681,"역삼역은 단순한 교통의 요지가 아니라, 비즈니스, 문화, 쇼핑 등 다양한 기능이 집중된 복합 공간입니다.",2024.10.17.
92,476683768,4766837682,역삼역은 강남 테헤란로의 중심지라고 생각합니다.회사들도 많이 밀집되어있고 고층빌딩 숲으로 형성된 지역이라고 생각합니다,2024.10.17.
93,476683768,4766837683,역삼역은 언덕으로 바로역 강남역과 구분됨직장인 상권으로 점심때 상당히 분주하고주말이 되면 상당히 썰렁해지는 역,2024.10.17.
94,476683768,4766837684,역삼역은 고지대에 있는 역.저지대에 있는 강남역과 반대되는 역입니다GS타워 등 회사들이 밀집되어 있으며고층빌딩 숲으로 형성되어 있습니다,2024.10.17.
95,476654087,4766540871,"월10:00~21:00, 휴게시간 14:00~15:00화10:00~21:00, 휴게시간 14:00~15:00수10:00~21:00, 휴게시간 14:00~15:00목10:00~21:00, 휴게시간 14:00~15:00금10:00~21:00, 휴게시간 14:00~15:00토10:00~15:00일정보없음",2024.10.15.
96,476609135,4766091351,네 오래된 건물은 더러 아직 남아 있습니다..그 동네뿐만 아니라 어디든그래요,2024.10.14.
97,476207012,4762070121,서울역에서 나오시면 버스정거장이 많아요. 거기서 지하철 2호선강남역 가는 402번버스타서 지하철 2호선강남역 에서 내리시면 됩니다! 버스노선표에 방향표가 있어서 화살표 방향에서 지하철 2호선강남역 가는 방향으로 402번 타시면 돼요!,2024.10.08.
98,476207012,4762070122,"서울역에서 4호선 오이도행을 타고 동작역하차동작역에서 9호선 중앙보훈병원행을 타고 신논현역하차서울역에서 1호선 인천,천안,병점,구로,신창,서동탄행을 타고 노량진역하차노량진역에서 9호선 중앙보훈병원행을 타고 신논현역하차약 31~40분 소요됨",2024.10.08.
99,476207012,4762070123,서울역 1호선 노량진역 하차 9호선은 급행 일반 2가지가 번갈아 가면서 옴급행 탑승 신논현역 하차7번출구 바로앞,2024.10.08.
100,476188037,4761880371,안녕하세요 ~~!탑차  11만원입니다 (한국로지스) 전국연합 { 주)틈새 }(운송면허 주선면허 이사면허 포장이사보험 완비)프로필 클릭~ 문자 & 톡으로 가격 문의 편하게 상담가능합니다언제든지 연락주시면~ 최선을 다해서 도움드리겠습니다고맙습니다,2024.10.04.
101,476188037,4761880372,1톤탑차용달 단순용달화물운송기본15만원 입니다.ㅡㅡㅡㅡ언제든지 문의주십시요 ❤️,2024.10.04.
102,476188037,4761880373,"안녕하세요!저녁시간 단순운송 11만원입니다.""연락주시면 최선을 다하겠습니다!""",2024.10.04.
103,476188037,4761880374,1톤 탑차25만원입니다,2024.10.04.
104,476188037,4761880375,천안신부동에서 역삼동탑차 10만원 입니다,2024.10.04.
105,476025337,4760253371,"여유있게 가려면 전철빨리가려면 버스지하철 2시간4분소요 3200원경춘선 전철은 1시간 3 ~ 4번 다님 시간표 확인https://map.naver.com/p/subway/1000/entry/1830?c=9.00,0,0,0,dh네이버 지도공간을 검색합니다. 생활을 연결합니다. 장소, 버스, 지하철, 도로 등 모든 공간의 정보를 하나의 검색으로 연결한 새로운 지도를 만나보세요.map.naver.com춘천터미널에서 잠실행 시외버스 이용 하루12회 운행 7700원 1시간 10분소요잠실역에서 2호선 선릉역 하차 7분소요 1400원시간표http://24four7.com/%EC%B6%98%EC%B2%9C-%EC%9E%A0%EC%8B%A4-%EB%B2%84%EC%8A%A4/?p=703춘천 잠실 버스(feat. 버스시간, 요금표 등) | 픽도와드림춘천 잠실 버스 요금, 시간표 등에 대해서 궁금하세요? 초간단하게 정리하였습니다. 춘천, 잠실, 잠실, 춘천 버스시간표, 요금 등에 대해서 궁금하셨던 분들에게 많은 도움이 될 것입니하. 어디서 탑승하는지 확인가능합니다. ^^24four7.com",2024.09.30.
106,476683768,4766837681,"역삼역은 단순한 교통의 요지가 아니라, 비즈니스, 문화, 쇼핑 등 다양한 기능이 집중된 복합 공간입니다.",2024.10.17.
107,476683768,4766837682,역삼역은 강남 테헤란로의 중심지라고 생각합니다.회사들도 많이 밀집되어있고 고층빌딩 숲으로 형성된 지역이라고 생각합니다,2024.10.17.
108,476683768,4766837683,역삼역은 언덕으로 바로역 강남역과 구분됨직장인 상권으로 점심때 상당히 분주하고주말이 되면 상당히 썰렁해지는 역,2024.10.17.
109,476683768,4766837684,역삼역은 고지대에 있는 역.저지대에 있는 강남역과 반대되는 역입니다GS타워 등 회사들이 밀집되어 있으며고층빌딩 숲으로 형성되어 있습니다,2024.10.17.
110,476654087,4766540871,"월10:00~21:00, 휴게시간 14:00~15:00화10:00~21:00, 휴게시간 14:00~15:00수10:00~21:00, 휴게시간 14:00~15:00목10:00~21:00, 휴게시간 14:00~15:00금10:00~21:00, 휴게시간 14:00~15:00토10:00~15:00일정보없음",2024.10.15.
111,476609135,4766091351,네 오래된 건물은 더러 아직 남아 있습니다..그 동네뿐만 아니라 어디든그래요,2024.10.14.
112,476207012,4762070121,서울역에서 나오시면 버스정거장이 많아요. 거기서 지하철 2호선강남역 가는 402번버스타서 지하철 2호선강남역 에서 내리시면 됩니다! 버스노선표에 방향표가 있어서 화살표 방향에서 지하철 2호선강남역 가는 방향으로 402번 타시면 돼요!,2024.10.08.
